Server Name,FQDN,System Role,App_Name,Segment,App_Owner,Operating System,O/S Service Pack,Server Model,Service Tag,BIOS Ver,Clustered Y-N,BMC Ver,CMC Ver,CPLD Ver,PERC Type,PERC F/W,Processor Type,Processor Speed,Mem (MB),Kernel Ver,SCCM Agent,BL Agent,VAS Ver,IP addr,Subnet Mask,Bonded/Teamed Y-N,DHCP Enabled Y-N,MAC Addr,Gateway,NIC Model,NIC Driver,NIC F/W,NIC Speed,DRAC DNS Name,DRAC Type,DRAC F/W,DRAC Static/DHCP,DRAC IP addr,DRAC Mask,DRAC in DNS? Y-N,SYS O/S Part Size,PERC Vol 1 RAID Type,PERC Vol 1 Size,PERC Vol 2 Type,PERC Vol 2 Size,HBA Model,HBA F/W,HBA Driver,iSCSI Ip addr1,iSCSI Mask1,iSCSI Ip addr2,iSCSI Mask2,Equallogic HIT KIT Ver,Path Software Types,Path Software Ver,Naviagent Service on-off,Naviagent Ver,OMSA Ver,VIP IP,VIP FQDN,Scan Date
ausplesdata10,ausplesdata10.us.dell.com,PRODUCTION,WEBLOGIC PLATFORM,GOCQ,"Kommana, Chuck",OEL,7,PowerEdge M630,DH3L282,1.4.5,N,na,5.11,1.0.5,PERC H730P,25.3.0.0016,32xIntel(R) Xeon(R) E5-2630,1877.625Mhz,64157,3.10.0-123.13.2.el7.x86_64,na,8.2.02.321,4.1.0.21708,10.178.241.213,255.255.252.0,Y,N,d0:43:1e:d6:f8:08,10.178.240.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x8000086d,Autoneg on 10000Mb/s Full Duplex,idrac-DH3L282,iDRAC8,2.21.21.21,Static,10.178.126.111,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,7969 MB,na,na,na,na,na,na,na,na,na,na,na,na,8.2.0,na,na,8/2/2016
ausulsoaapp44,ausulsoaapp44.us.dell.com,PRODUCTION,Corporate Oracle WebCenter (COWC),GOCQ,"Stangl, Gabriela",OEL,7,VMware Virtual Platform,VMware-42 27 ab ca 9a 75 1d 44-1a d8 4b c3 a1 b4 8a b2,6,N,na,na,na,na,na,4xIntel(R) Xeon(R) E5-2660,2200.000Mhz,13865,3.10.0-123.13.2.el7.x86_64,na,8.2.02.321,4.1.0.21708,10.161.1.166,255.255.240.0,N,N,00:50:56:a7:1a:30,10.161.0.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,26.8 GB,na,26.8 GB,na,107.4 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/2/2016
auspldpgtmweb01,auspldpgtmweb01.us.dell.com,PRODUCTION,UDE- BLAZE,DCS,"Szymanski, Carlon",OEL,6.5,PowerEdge M630,7VMS382,1.4.5,N,na,5.11,1.0.5,PERC H730P,25.3.0.0016,32xIntel(R) Xeon(R) E5-2630,2394.460Mhz,31996,2.6.32-431.el6.x86_64,na,8.2.02.321,4.1.0.21708,10.166.134.122,255.255.255.0,Y,N,d0:43:1e:b0:01:5c,10.166.134.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x8000086d,Autoneg on 10000Mb/s Full Duplex,idrac-7VMS382,iDRAC8,2.21.21.21,Static,10.178.126.121,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.2.0,na,na,8/3/2016
penulsit3gdrg04,penulsit3gdrg04.pen.apac.dell.com,PRODUCTION,UDE- BLAZE,DCS,"Szymanski, Carlon",OEL,6.5,VMware Virtual Platform,VMware-42 3a 00 41 de 40 35 f3-ed af 8c 97 1b 95 0c 03,6,N,na,na,na,na,na,1xIntel(R) Xeon(R) X5650,2660.000Mhz,7872,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.99.245.122,255.255.255.128,N,N,00:50:56:ba:43:31,10.99.245.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,26.8 GB,na,26.8 GB,na,21.5 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/3/2016
ausilsiwlsm22,ausilsiwlsm22.us.dell.com CONNECTION TIMED OUT,PRODUCTION,UDE- BLAZE,DCS,"Szymanski, Carlon",OEL,6.5,VMware Virtual Platform,VMware-42 24 a4 4b f4 ac c9 a3-de d1 6c 5d 96 d7 61 b4,6,N,na,na,na,na,na,2xIntel(R) Xeon(R) E5-2660,2200.000Mhz,24027,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.160.227.28,255.255.240.0,N,N,00:50:56:a4:2f:9b,10.160.224.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,26.8 GB,na,26.8 GB,na,118.1 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/2/2016
ausulsiwlsa21,ausulsiwlsa21.us.dell.com,PRODUCTION,Billing and Revenue Management (BRM),ETS,"Wheeler, John W",OEL,6.5,VMware Virtual Platform,VMware-42 24 2a f9 f4 6d 47 82-b0 7a b0 b5 b7 95 15 83,6,N,na,na,na,na,na,2xIntel(R) Xeon(R) E5-2660,2200.000Mhz,24027,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.160.227.29,255.255.240.0,N,N,00:50:56:a4:16:b1,10.160.224.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,26.8 GB,na,26.8 GB,na,118.1 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/2/2016
ausfmsprddb01,ausfmsprddb01.us.dell.com,PRODUCTION,DragonFX APJ,ETS,"Costelloe, Andy",OEL,5.7,PowerEdge R710,19FSQJ1,1.0.4,Y,na,na,na,PERC 6/i,6.1.1-0047,16xIntel(R) Xeon(R) E5530,2394.060Mhz,7976,2.6.18-274.el5,na,8.5.00.469,4.1.0.21708,10.178.201.237,255.255.248.0,N,N,00:24:e8:50:a3:ee,10.178.200.1,Broadcom Corporation NetXtreme II BCM5709 Gigabit Ethernet (rev 20),bnx2,bc 4.6.4 NCSI 1.0.6,Autoneg on 1000Mb/s Full Duplex,idrac-19FSQJ1,iDRAC6,1,Static,10.178.197.56,255.255.252.0,Y,146.1 GB,RAID-1,146.1 GB,RAID-1,146.1 GB,EMC LPe1150-E 4Gb PCIe Fibre Channel Adapter,2.82A4 (W3F2.82A4); sli-3,8.2.0.96.2p; HBAAPI(I) v2.1.g; 12-07-07,na,na,na,na,na,MPIO,device-mapper-multipath-0.4.9-64.0.10.el5,na,na,6.1.0,na,na,8/3/2016
ausulsiwlsm21,ausulsiwlsm21.us.dell.com,PRODUCTION,WEBLOGIC PLATFORM,GOCQ,"Kommana, Chuck",OEL,6.5,VMware Virtual Platform,VMware-42 24 3f 12 5e 79 a5 b5-7a e3 66 45 3a 99 72 44,6,N,na,na,na,na,na,2xIntel(R) Xeon(R) E5-2660,2200.000Mhz,24027,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.160.227.30,255.255.240.0,N,N,00:50:56:a4:75:36,10.160.224.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,26.8 GB,na,26.8 GB,na,118.1 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/2/2016
ausfmsdrdb01,ausfmsdrdb01.us.dell.com,PRODUCTION,WEBLOGIC PLATFORM,GOCQ,"Kommana, Chuck",OEL,5.7,PowerEdge R710,FWLWZK1,1.2.6,Y,na,na,na,SAS 6/iR,00.25.47.00.06.22.03.00,16xIntel(R) Xeon(R) X5550,2660.086Mhz,7976,2.6.18-274.el5,na,8.5.00.469,4.1.0.21708,10.177.200.122,255.255.248.0,N,N,00:26:b9:34:9a:bf,10.177.200.1,Broadcom Corporation NetXtreme II BCM5709 Gigabit Ethernet (rev 20),bnx2,5.0.9 bc 5.0.6 NCSI 2.0.3,Autoneg on 1000Mb/s Full Duplex,idrac-FWLWZK1,iDRAC6,1.1,Static,10.177.197.194,255.255.252.0,Y,146.1 GB,RAID-1,146.1 GB,,146.1 GB,EMC LPe1150-E 4Gb PCIe Fibre Channel Adapter,2.82A4 (W3F2.82A4); sli-3,8.2.0.96.2p; HBAAPI(I) v2.1.g; 12-07-07,na,na,na,na,na,MPIO,device-mapper-multipath-0.4.9-64.0.10.el5,na,na,6.1.0,na,na,8/3/2016
ausultsap29,ausultsap29.us.dell.com,PRODUCTION,WEBLOGIC PLATFORM,GOCQ,"Kommana, Chuck",OEL,6.5,VMware Virtual Platform,VMware-42 3d bd c8 42 31 16 9c-2d b8 a1 da fa 89 03 42,6,N,na,na,na,na,na,2xIntel(R) Xeon(R) E5-2660,2200.000Mhz,3828,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.160.149.241,255.255.240.0,N,N,00:50:56:bd:5b:9d,10.160.144.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,26.8 GB,na,26.8 GB,na,53.7 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/3/2016
ausslsiwlsm21,ausslsiwlsm21.us.dell.com,PRODUCTION,WEBLOGIC PLATFORM,GOCQ,"Kommana, Chuck",OEL,6.5,VMware Virtual Platform,VMware-42 24 f4 8d d2 82 6c 92-58 12 08 fe 4f 8c 13 b8,6,N,na,na,na,na,na,2xIntel(R) Xeon(R) E5-2660,2200.000Mhz,24027,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.160.227.33,255.255.240.0,N,N,00:50:56:a4:37:8e,10.160.224.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,26.8 GB,na,26.8 GB,na,145.0 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/3/2016
ausflbrmbtapp01,ausflbrmbtapp01.us.dell.com,PRODUCTION,Compliance Integration Services (CIS),ETS,"J, Ramesh",OEL,6.5,VMware Virtual Platform,VMware-42 10 e8 1a 3b 23 cb 70-5a 90 2b fe d1 f4 e1 f3,6,N,na,na,na,na,na,4xIntel(R) Xeon(R) E5-2660,2200.000Mhz,15947,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.177.51.160,255.255.240.0,N,N,00:50:56:90:5a:59,10.177.48.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,26.8 GB,na,26.8 GB,na,53.7 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/3/2016
ausfldpgtmdb02,ausfldpgtmdb02.us.dell.com CONNECTION TIMED OUT,PREP,Oracle Service Bus,GOCQ,"Kommana, Chuck",OEL,7,PowerEdge M630,627N282,2.0.1,Y,na,5.11,1.0.5,PERC H730P,25.4.0.0015,16xIntel(R) Xeon(R) E5-2630,2827.500Mhz,64155,3.10.0-123.13.2.el7.x86_64,na,8.2.02.321,4.1.0.21708,10.177.118.227,255.255.252.0,Y,N,a0:36:9f:7e:aa:7c,10.177.116.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x80000818,Autoneg on 10000Mb/s Full Duplex,idrac-627N282,iDRAC8,2.30.30.30,Static,10.177.124.157,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,7969 MB,Emulex LPe1205-M 8Gb 2-port PCIe Fibre Channel Adapter,2.01A10 (U3F2.01A10),8.3.7.34.3p; HBAAPI(I) v2.3.b; 07-12-10,na,na,na,na,na,MPIO,device-mapper-multipath-0.4.9-85.el7_2.1.x86_64,na,na,8.2.0,10.177.118.228,ausfldpgtmdb02-vip.us.dell.com,8/2/2016
ausplwwtspdb01,ausplwwtspdb01.us.dell.com,PREP,Billing and Revenue Management (BRM),ETS,"Wheeler, John W",OEL,6.5,PowerEdge M620,B9B4P22,2.5.4,Y,na,5.11,1.0.7,PERC H710P,21.3.2-0005,12xIntel(R) Xeon(R) E5-2630L,2000.025Mhz,32060,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.178.119.120,255.255.252.0,Y,N,54:9f:35:db:3e:00,10.178.116.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x80000818,Autoneg on 10000Mb/s Full Duplex,idrac-B9B4P22,iDRAC7,2.30.30.30,Static,10.178.123.55,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,na,Dell LPe1205-M 8Gb 2-port PCIe Fibre Channel Adapter,2.01A12 (U3F2.01A12); sli-3,8.3.7.21.4p; HBAAPI(I) v2.3.b; 07-12-10,na,na,na,na,na,MPIO,device-mapper-multipath-0.4.9-72.0.1.el6_5.4.x86_64,na,na,8.3.0,10.178.119.121,ausplwwtspdb01-vip.us.dell.com,8/3/2016
auspldpsoaap02,auspldpsoaap02.us.dell.com CONNECTION TIMED OUT,PREP,Billing and Revenue Management (BRM),ETS,"Wheeler, John W",OEL,7,PowerEdge M630,CWGK282,1.4.5,N,na,5.11,1.0.5,PERC H730P,25.3.0.0016,32xIntel(R) Xeon(R) E5-2630,2975.343Mhz,96411,3.10.0-123.13.2.el7.x86_64,na,8.2.02.321,4.1.0.21708,10.166.134.120,255.255.255.0,Y,N,d0:43:1e:af:c4:0f,10.166.134.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x8000086d,Autoneg on 10000Mb/s Full Duplex,idrac-CWGK282,iDRAC8,2.21.21.21,Static,10.178.126.107,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,7969 MB,na,na,na,na,na,na,na,na,na,na,na,na,8.2.0,na,na,8/2/2016
ausplesdata02,ausplesdata02.us.dell.com,SIT/UAT,HRDM - Human Resources Document Management,GOCQ,"Stangl, Gabriela",OEL,7,PowerEdge M630,CKCH282,1.4.5,N,na,5.11,1.0.5,PERC H730P,25.3.0.0016,32xIntel(R) Xeon(R) E5-2630,2187.843Mhz,64157,3.10.0-123.el7.x86_64,na,8.2.02.321,4.1.0.21708,10.178.241.205,255.255.252.0,Y,N,d0:43:1e:b0:01:28,10.178.240.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x8000086d,Autoneg on 10000Mb/s Full Duplex,idrac-CKCH282,iDRAC8,2.21.21.21,Static,10.178.126.97,255.255.248.0,N,599.6 GB,RAID-1,599.6 GB,na,7969 MB,na,na,na,na,na,na,na,na,na,na,na,na,8.2.0,na,na,8/2/2016
ausplotmapdb02,ausplotmapdb02.us.dell.com,PERFORMANCE,RTPA,DCS,"Szymanski, Carlon",OEL,6.5,PowerEdge M620,B995P22,2.5.2,Y,na,5.11,1.0.7,na,na,12xIntel(R) Xeon(R) E5-2630L,2000.019Mhz,64378,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.178.119.56,255.255.252.0,Y,N,54:9f:35:d9:84:f3,10.178.116.1,Intel Corporation 82599 10 Gigabit Dual Port Backplane Connection (rev 01),ixgbe,0x80000818,Autoneg on 10000Mb/s Full Duplex,idrac-B995P22,iDRAC7,2.30.30.30,Static,10.178.123.42,255.255.248.0,N,na,na,na,na,na,Emulex LPe1205-M 8Gb 2-port PCIe Fibre Channel Adapter,2.01A12 (U3F2.01A12); sli-3,8.3.7.21.4p; HBAAPI(I) v2.3.b; 07-12-10,na,na,na,na,na,MPIO,device-mapper-multipath-0.4.9-72.0.1.el6_5.4.x86_64,na,na,8.3.0,10.178.119.57,ausplotmapdb02-vip.us.dell.com,8/3/2016
ausplcowcssap01,ausplcowcssap01.us.dell.com,PERFORMANCE,RTPA,DCS,"Szymanski, Carlon",OEL,6.5,VMware Virtual Platform,VMware-42 16 ac 1b 4c 9a d1 a5-2e bf a6 96 fb ff 81 bf,6,N,na,na,na,na,na,4xIntel(R) Xeon(R) E5-2660,2200.000Mhz,15947,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.166.132.220,255.255.255.0,N,N,00:50:56:96:77:04,10.166.132.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,26.8 GB,na,26.8 GB,na,32.2 GB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/2/2016
ausflrtpadb01,ausflrtpadb01.us.dell.com,PRODUCTION,Corporate Oracle WebCenter (COWC),GOCQ,"Stangl, Gabriela",OEL,6.5,VMware Virtual Platform,VMware-42 10 5e 94 35 c5 b8 8d-82 db 8e e5 18 4d 9a dc,6,Y,na,na,na,na,na,4xIntel(R) Xeon(R) E5-2660,2200.000Mhz,15947,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.177.50.120,255.255.240.0,N,N,00:50:56:90:6d:95,10.177.48.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,69.8 GB,na,69.8 GB,na,5368 MB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/2/2016
ausplrtpadb01,ausplrtpadb01.us.dell.com,PRODUCTION,Oracle Service Bus,GOCQ,"Kommana, Chuck",OEL,6.5,VMware Virtual Platform,VMware-42 16 cb d6 8c 32 42 44-97 ac 81 0f 18 2e 64 01,6,Y,na,na,na,na,na,4xIntel(R) Xeon(R) E5-2660,2200.000Mhz,15947,2.6.32-431.el6.x86_64,na,8.5.00.469,4.1.0.21708,10.178.53.60,255.255.240.0,N,N,00:50:56:96:09:29,10.178.48.1,VMware VMXNET3 Ethernet Controller (rev 01),vmxnet3,na,Autoneg off 10000Mb/s Full Duplex,na,na,na,na,na,na,na,69.8 GB,na,69.8 GB,na,5368 MB,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8/3/2016
